article_type,queries,recall_at_5,recall_at_10,precision_at_5,precision_at_10,map_at_5,map_at_10
Clutches,1,0.0,0.0,0.0,0.0,0.0,0.0
Face Moisturisers,1,0.0,0.0,0.0,0.0,0.0,0.0
Scarves,1,0.0,0.0,0.0,0.0,0.0,0.0
Rain Jacket,1,0.0,0.0,0.0,0.0,0.0,0.0
Tunics,6,0.0007309941520467836,0.0021929824561403508,0.03333333333333333,0.05000000000000001,0.016666666666666666,0.015555555555555553
Free Gifts,4,0.002777777777777778,0.005555555555555556,0.05,0.05,0.016666666666666666,0.016666666666666666
Fragrance Gift Set,1,0.0,0.017857142857142856,0.0,0.1,0.0,0.016666666666666666
Waist Pouch,1,0.0625,0.0625,0.2,0.1,0.04,0.02
Lounge Shorts,1,0.0,0.06060606060606061,0.0,0.2,0.0,0.0365079365079365
Travel Accessory,1,0.06666666666666667,0.06666666666666667,0.2,0.1,0.1,0.05
Bracelet,2,0.007692307692307693,0.007692307692307693,0.1,0.05,0.1,0.05
Kurtis,5,0.004291845493562232,0.007725321888412018,0.2,0.18,0.09999999999999999,0.06607142857142857
Baby Dolls,1,0.13333333333333333,0.13333333333333333,0.4,0.2,0.16666666666666666,0.08333333333333333
Messenger Bag,3,0.023255813953488372,0.023255813953488372,0.19999999999999998,0.09999999999999999,0.19999999999999998,0.09999999999999999
Waistcoat,1,0.07142857142857142,0.07142857142857142,0.2,0.1,0.2,0.1
Jeggings,1,0.030303030303030304,0.030303030303030304,0.2,0.1,0.2,0.1
Mask and Peel,1,0.09090909090909091,0.18181818181818182,0.2,0.2,0.2,0.13333333333333333
Lounge Pants,2,0.025,0.03333333333333333,0.3,0.2,0.21000000000000002,0.13833333333333334
Duffel Bag,3,0.01532567049808429,0.02681992337164751,0.26666666666666666,0.2333333333333333,0.19666666666666668,0.14674603174603174
Dresses,14,0.0030854674483184207,0.006016661524220919,0.2857142857142857,0.2785714285714286,0.17547619047619048,0.14973639455782312
Concealer,1,0.2,0.2,0.4,0.2,0.4,0.2
Bangle,1,0.023809523809523808,0.023809523809523808,0.4,0.2,0.4,0.2
Flats,11,0.0034614683913281106,0.006376389141920204,0.34545454545454546,0.3181818181818182,0.27454545454545454,0.20073953823953825
Bath Robe,1,0.10526315789473684,0.21052631578947367,0.4,0.4,0.3,0.22749999999999998
Tops,29,0.001135718341851221,0.0022518553329808687,0.39999999999999997,0.39655172413793105,0.29885057471264365,0.2621455938697318
Cufflinks,2,0.01904761904761905,0.03333333333333333,0.4,0.35,0.35,0.27404761904761904
Sweatshirts,6,0.007629107981220657,0.017018779342723004,0.43333333333333335,0.48333333333333334,0.2727777777777778,0.28095238095238095
Tracksuits,1,0.10714285714285714,0.14285714285714285,0.6,0.4,0.4833333333333333,0.29166666666666663
Capris,5,0.014942528735632182,0.025287356321839084,0.5199999999999999,0.44000000000000006,0.392,0.2971190476190476
Nightdress,10,0.013829787234042554,0.02446808510638298,0.52,0.45999999999999996,0.4,0.32796031746031745
Boxers,2,0.049019607843137254,0.0784313725490196,0.5,0.39999999999999997,0.5,0.3555555555555555
Jackets,4,0.010700389105058366,0.016536964980544747,0.55,0.425,0.52,0.3582142857142857
Basketballs,1,0.3333333333333333,0.4166666666666667,0.8,0.5,0.6433333333333333,0.3716666666666667
Sweaters,13,0.009754738015607582,0.017279821627647716,0.5384615384615384,0.47692307692307695,0.45846153846153853,0.3739194139194139
Kajal and Eyeliner,3,0.026402640264026403,0.04620462046204621,0.5333333333333333,0.4666666666666666,0.49444444444444446,0.4014550264550265
Pendant,6,0.015238095238095238,0.02857142857142857,0.5333333333333333,0.5,0.49333333333333335,0.4108796296296296
Foundation and Primer,3,0.04888888888888889,0.06666666666666667,0.7333333333333334,0.5,0.7200000000000001,0.49333333333333335
Heels,31,0.002464496608267044,0.0043921721731491874,0.6516129032258065,0.5806451612903226,0.5874193548387097,0.49466717869943677
Rucksacks,1,0.3,0.6,0.6,0.6,0.6,0.4958333333333333
Swimwear,1,0.3125,0.3125,1.0,0.5,1.0,0.5
Camisoles,1,0.10526315789473684,0.15789473684210525,0.8,0.6,0.76,0.5025
Salwar,1,0.12903225806451613,0.22580645161290322,0.8,0.7,0.5433333333333333,0.5184920634920636
Perfume and Body Mist,15,0.0057640021750951604,0.009896682979880368,0.7066666666666667,0.6066666666666667,0.6431111111111111,0.5276428571428571
Dupatta,6,0.02753623188405797,0.04927536231884058,0.6333333333333333,0.5666666666666668,0.6333333333333333,0.5430952380952381
Kurta Sets,3,0.039426523297491044,0.06451612903225806,0.7333333333333334,0.6,0.6811111111111111,0.5572222222222222
Kurtas,41,0.0019586305466961344,0.0037055172505062,0.7219512195121952,0.6829268292682927,0.6690243902439025,0.5977497096399536
Lip Liner,1,0.10638297872340426,0.1276595744680851,1.0,0.6,1.0,0.6
Sandals,18,0.00427827380952381,0.008370535714285714,0.7666666666666667,0.75,0.6820370370370371,0.6362037037037037
Casual Shoes,72,0.0013376293692638156,0.002533684827182191,0.7611111111111112,0.7208333333333333,0.7006018518518519,0.6389103835978837
Leggings,3,0.020833333333333332,0.04356060606060606,0.7333333333333334,0.7666666666666666,0.6433333333333334,0.6403968253968254
Skirts,1,0.023622047244094488,0.06299212598425197,0.6,0.8,0.55,0.6458730158730158
Flip Flops,14,0.0041373926619828255,0.0078064012490242,0.7571428571428571,0.7142857142857143,0.7054761904761905,0.6474716553287981
Sports Shoes,53,0.001900700013907561,0.003551063928422419,0.7735849056603774,0.7226415094339622,0.7145911949685535,0.6487466307277628
Innerwear Vests,6,0.014522821576763484,0.02904564315352697,0.7000000000000001,0.7000000000000001,0.6866666666666666,0.6523280423280423
Track Pants,7,0.0132013201320132,0.024516737388024516,0.7999999999999999,0.7428571428571429,0.7633333333333334,0.6961337868480726
Trunk,3,0.02877697841726619,0.05995203836930455,0.7999999999999999,0.8333333333333334,0.6977777777777777,0.7078835978835979
Jewellery Set,5,0.08421052631578947,0.13333333333333333,0.96,0.76,0.9286666666666668,0.7199761904761905
Lip Gloss,5,0.03076923076923077,0.05314685314685315,0.8800000000000001,0.76,0.8620000000000001,0.732373015873016
Formal Shoes,13,0.0068940493468795366,0.01282051282051282,0.8769230769230769,0.8153846153846154,0.8351282051282052,0.7385897435897436
Deodorant,5,0.01329479768786127,0.02254335260115607,0.9199999999999999,0.78,0.9199999999999999,0.7618333333333334
Patiala,1,0.13513513513513514,0.21621621621621623,1.0,0.8,1.0,0.7675
Necklace and Chains,4,0.029874213836477988,0.05188679245283019,0.95,0.8250000000000001,0.95,0.7755952380952381
Jeans,16,0.006898682042833608,0.013797364085667216,0.8375,0.8375,0.7858333333333334,0.7797172619047619
Stoles,2,0.056179775280898875,0.0898876404494382,1.0,0.8,1.0,0.78375
Laptop Bag,2,0.06172839506172839,0.10493827160493827,1.0,0.8500000000000001,1.0,0.8071031746031745
Shirts,61,0.0013516684178848685,0.0026319279382211024,0.8688524590163934,0.8459016393442623,0.8423497267759563,0.8092518865469686
Earrings,10,0.010336538461538463,0.020673076923076926,0.86,0.86,0.8413333333333334,0.8121269841269841
Trousers,14,0.008641641911963273,0.01647312989467999,0.9142857142857144,0.8714285714285713,0.8945238095238095,0.8277295918367347
Night suits,2,0.03214285714285714,0.06428571428571428,0.9,0.9,0.855,0.8355555555555555
Backpacks,15,0.00599354541263255,0.012079299216228677,0.8666666666666667,0.8733333333333333,0.8328888888888889,0.8383333333333333
Tshirts,166,0.0006341154090044388,0.0012562985388071813,0.8963855421686747,0.8879518072289156,0.8689156626506025,0.8504498948173648
Handbags,36,0.0025913285298950826,0.005056250790039186,0.911111111111111,0.8888888888888888,0.8843518518518518,0.8542217813051146
Wallets,24,0.004857397504456328,0.009670231729055258,0.9083333333333333,0.9041666666666667,0.8701388888888889,0.8589930555555556
Sarees,11,0.01088348271446863,0.020486555697823303,0.9272727272727272,0.8727272727272727,0.9272727272727272,0.866554834054834
Caps,6,0.016548463356973995,0.030732860520094565,0.9333333333333332,0.8666666666666667,0.9333333333333332,0.8666666666666667
Nail Polish,10,0.014024390243902438,0.028048780487804875,0.9199999999999999,0.9199999999999999,0.8993333333333332,0.8974960317460317
Stockings,1,0.16129032258064516,0.2903225806451613,1.0,0.9,1.0,0.9
Socks,17,0.007127522541863461,0.0137398024903392,0.9764705882352942,0.9411764705882353,0.9764705882352942,0.9358380018674136
Shorts,6,0.008852258852258854,0.0173992673992674,0.9666666666666667,0.9500000000000001,0.9666666666666667,0.9378042328042328
Watches,54,0.0018875624936230998,0.0037605492150946697,0.9592592592592593,0.9555555555555556,0.9481481481481482,0.9415424750146971
Briefs,21,0.0057277628032345014,0.011343216531895777,0.9714285714285713,0.9619047619047618,0.9671428571428571,0.9541798941798941
Bra,14,0.01050420168067227,0.020108043217286913,1.0,0.9571428571428572,1.0,0.9544359410430838
Accessory Gift Set,3,0.04545454545454545,0.08787878787878789,1.0,0.9666666666666667,1.0,0.955462962962963
Sunglasses,19,0.004565985860172819,0.009181068342498036,0.9789473684210527,0.9842105263157894,0.970701754385965,0.9721804511278196
Ring,1,0.042735042735042736,0.08547008547008547,1.0,1.0,1.0,1.0
Lipstick,6,0.01592356687898089,0.03184713375796178,1.0,1.0,1.0,1.0
Belts,14,0.006157635467980296,0.012315270935960592,1.0,1.0,1.0,1.0
Suspenders,1,0.1282051282051282,0.2564102564102564,1.0,1.0,1.0,1.0
Ties,7,0.019083969465648856,0.03816793893129771,1.0,1.0,1.0,1.0
