query_article_type,retrieved_article_type,count
Casual Shoes,Sports Shoes,153
Sports Shoes,Casual Shoes,123
Tops,Tshirts,88
Tshirts,Tops,61
Heels,Flats,56
Casual Shoes,Formal Shoes,49
Flats,Heels,43
Tops,Kurtas,41
Tshirts,Shirts,32
Track Pants,Trousers,32
Dresses,Kurtas,30
Dresses,Tops,30
Kurtas,Shirts,29
Heels,Sandals,28
Formal Shoes,Casual Shoes,27
Perfume and Body Mist,Deodorant,27
Heels,Flip Flops,26
Tops,Shirts,24
Kurtas,Tops,24
Sports Sandals,Sandals,23
Shirts,Tshirts,22
Sandals,Flip Flops,22
Flip Flops,Sandals,22
Tshirts,Innerwear Vests,22
Kurtis,Kurtas,22
Kurtas,Dresses,21
Jeggings,Jeans,20
Tshirts,Sweaters,20
Tunics,Shirts,19
Kurtas,Tunics,18
Tunics,Kurtas,18
Tshirts,Sweatshirts,17
Trousers,Jeans,17
Kurtas,Kurtis,17
Sweaters,Tshirts,17
Flip Flops,Heels,16
Tunics,Tops,16
Clutches,Wallets,15
Jeans,Trousers,15
Sandals,Flats,14
Tops,Dresses,14
Flats,Casual Shoes,14
Flats,Sandals,13
Jackets,Sweatshirts,13
Shirts,Tops,12
Handbags,Backpacks,12
Capris,Shorts,12
Sarees,Kurtas,11
Sandals,Heels,11
Jackets,Shirts,11
Sweatshirts,Tshirts,11
Mobile Pouch,Handbags,11
Shorts,Capris,11
Sandals,Casual Shoes,11
Flip Flops,Flats,10
Boxers,Shorts,10
Sports Shoes,Formal Shoes,10
Trousers,Track Pants,9
Wallets,Clutches,9
Kurtis,Tops,8
Sweatshirts,Jackets,8
Casual Shoes,Heels,8
Tunics,Tshirts,8
Sweaters,Tops,8
Tshirts,Briefs,8
Watches,Free Gifts,8
Flats,Flip Flops,8
Casual Shoes,Flip Flops,7
Deodorant,Perfume and Body Mist,7
Kurta Sets,Kurtas,7
Sandals,Sports Sandals,7
Track Pants,Jeans,7
Dresses,Tunics,7
Tops,Tunics,7
Handbags,Wallets,7
Wallets,Perfume and Body Mist,7
Sweatshirts,Shirts,7
Camisoles,Bra,7
Handbags,Laptop Bag,6
Nightdress,Tshirts,6
Handbags,Messenger Bag,6
Tops,Kurtis,6
Skirts,Shorts,6
Dresses,Tshirts,6
Heels,Casual Shoes,6
Trunk,Briefs,6
Casual Shoes,Sandals,6
Casual Shoes,Flats,6
Dresses,Kurtis,5
Clutches,Handbags,5
Bath Robe,Kurta Sets,5
Fragrance Gift Set,Deodorant,5
Earrings,Pendant,5
Kurtas,Tshirts,5
Night suits,Nightdress,5
Perfume and Body Mist,Fragrance Gift Set,5
Mufflers,Scarves,5
Nightdress,Kurtas,5
Scarves,Tops,5
Lounge Pants,Capris,5
Leggings,Trousers,5
Waistcoat,Shorts,5
Shorts,Lounge Shorts,5
Jackets,Sweaters,5
Handbags,Duffel Bag,5
Tshirts,Kurtas,4
Wallets,Trunk,4
Tops,Sweaters,4
