query_article_type,queries,total_retrievals,relevant_retrievals,precision_at_10,error_rate
Flats,12,120,41,0.3416666666666667,0.6583333333333333
Dresses,15,150,64,0.4266666666666667,0.5733333333333333
Tops,39,390,194,0.49743589743589745,0.5025641025641026
Track Pants,12,120,63,0.525,0.475
Heels,27,270,148,0.5481481481481482,0.45185185185185184
Sports Shoes,46,460,313,0.6804347826086956,0.3195652173913044
Casual Shoes,74,740,510,0.6891891891891891,0.31081081081081086
Kurtas,43,430,298,0.6930232558139535,0.3069767441860465
Sandals,23,230,162,0.7043478260869566,0.29565217391304344
Perfume and Body Mist,15,150,108,0.72,0.28
Flip Flops,19,190,142,0.7473684210526316,0.25263157894736843
Trousers,13,130,104,0.8,0.19999999999999996
Formal Shoes,16,160,132,0.825,0.17500000000000004
Shorts,13,130,108,0.8307692307692308,0.16923076923076918
Sarees,12,120,100,0.8333333333333334,0.16666666666666663
Wallets,24,240,208,0.8666666666666667,0.1333333333333333
Jeans,18,180,156,0.8666666666666667,0.1333333333333333
Handbags,42,420,367,0.8738095238095238,0.1261904761904762
Tshirts,141,1410,1236,0.8765957446808511,0.12340425531914889
Earrings,13,130,118,0.9076923076923077,0.09230769230769231
Briefs,19,190,179,0.9421052631578948,0.05789473684210522
Shirts,79,790,749,0.9481012658227848,0.051898734177215244
Backpacks,16,160,156,0.975,0.025000000000000022
Watches,58,580,567,0.9775862068965517,0.022413793103448265
Belts,19,190,187,0.9842105263157894,0.015789473684210575
Socks,13,130,129,0.9923076923076923,0.007692307692307665
Sunglasses,19,190,189,0.9947368421052631,0.0052631578947368585
Bra,11,110,110,1.0,0.0
