model,article_type,queries,recall_at_5,recall_at_10,precision_at_5,precision_at_10,map_at_5,map_at_10
EfficientNet-B0,Backpacks,16,0.006656293222683264,0.013485477178423235,0.9625,0.975,0.9470833333333333,0.9530853174603174
EfficientNet-B0,Belts,19,0.006028001037075448,0.01212081928960332,0.9789473684210527,0.9842105263157894,0.9685964912280701,0.9722974101921471
EfficientNet-B0,Bra,11,0.01050420168067227,0.02100840336134454,1.0,1.0,1.0,1.0
EfficientNet-B0,Briefs,19,0.005647964250248262,0.011109731876861968,0.9578947368421052,0.9421052631578947,0.9443859649122808,0.9296574770258982
EfficientNet-B0,Casual Shoes,74,0.0012349783878782123,0.0024224576069918776,0.7027027027027027,0.6891891891891891,0.6197297297297297,0.5798836336336336
EfficientNet-B0,Dresses,15,0.00503959683225342,0.009215262778977683,0.4666666666666667,0.4266666666666667,0.38555555555555554,0.31965079365079363
EfficientNet-B0,Earrings,13,0.011464497041420118,0.021819526627218935,0.9538461538461539,0.9076923076923078,0.9476923076923077,0.8843315018315019
EfficientNet-B0,Flats,12,0.0041750167000668,0.006847027388109553,0.4166666666666667,0.3416666666666666,0.3411111111111111,0.22939484126984125
EfficientNet-B0,Flip Flops,19,0.004199022145527754,0.00816796088582111,0.7684210526315789,0.7473684210526316,0.7221052631578947,0.6726315789473684
EfficientNet-B0,Formal Shoes,16,0.006191037735849057,0.012971698113207548,0.7875000000000001,0.825,0.688125,0.7088467261904762
EfficientNet-B0,Handbags,42,0.0025326399046535562,0.004970475106993878,0.8904761904761904,0.8738095238095239,0.8790476190476191,0.8416798941798943
EfficientNet-B0,Heels,27,0.0024093685213201098,0.004146355129713677,0.637037037037037,0.5481481481481482,0.5629629629629629,0.4441607877718989
EfficientNet-B0,Jeans,18,0.007321984257733846,0.014277869302580999,0.8888888888888888,0.8666666666666667,0.8516666666666667,0.8243893298059964
EfficientNet-B0,Kurtas,43,0.0019432421860212747,0.003760299814508701,0.7162790697674418,0.6930232558139535,0.6110077519379845,0.5706081579918789
EfficientNet-B0,Perfume and Body Mist,15,0.006416530723219141,0.011745513866231648,0.7866666666666667,0.7200000000000001,0.7222222222222222,0.6275396825396825
EfficientNet-B0,Sandals,23,0.004464285714285714,0.007861024844720496,0.7999999999999999,0.7043478260869565,0.7220289855072464,0.6276828847481021
EfficientNet-B0,Sarees,12,0.009976525821596244,0.019561815336463225,0.85,0.8333333333333334,0.8108333333333334,0.7704794973544974
EfficientNet-B0,Shirts,79,0.0015005553236237031,0.002949910596835049,0.9645569620253165,0.9481012658227849,0.9536286919831224,0.9344107896323086
EfficientNet-B0,Shorts,13,0.008171315863623557,0.01521555367709214,0.8923076923076922,0.8307692307692308,0.8746153846153847,0.8063278388278388
EfficientNet-B0,Socks,13,0.0072992700729927005,0.014486243683323975,1.0,0.9923076923076923,1.0,0.9915384615384616
EfficientNet-B0,Sports Shoes,46,0.0016558060036320904,0.0033436598653989956,0.6739130434782609,0.6804347826086957,0.5856521739130435,0.572129917184265
EfficientNet-B0,Sunglasses,19,0.0046641791044776115,0.009279261586802827,1.0,0.994736842105263,1.0,0.9929678362573099
EfficientNet-B0,Tops,39,0.0015288516140304896,0.002824735363065857,0.5384615384615384,0.4974358974358974,0.47042735042735045,0.3941239316239316
EfficientNet-B0,Track Pants,12,0.01045104510451045,0.017326732673267325,0.6333333333333333,0.525,0.5525,0.4300859788359788
EfficientNet-B0,Trousers,13,0.008143085647811545,0.015122873345935726,0.8615384615384615,0.8,0.8058974358974359,0.74008547008547
EfficientNet-B0,Tshirts,141,0.0006381774614986332,0.001240231670459608,0.902127659574468,0.876595744680851,0.8804964539007093,0.8448390183496567
