model,query_product_id,article_type,recall@5,precision@5,ap@5,recall@10,precision@10,ap@10
ResNet-18,28032,Briefs,0.00589622641509434,1.0,1.0,0.01179245283018868,1.0,1.0
ResNet-18,35322,Earrings,0.01201923076923077,1.0,1.0,0.02403846153846154,1.0,1.0
ResNet-18,13284,Shorts,0.009157509157509158,1.0,1.0,0.018315018315018316,1.0,1.0
ResNet-18,26197,Perfume and Body Mist,0.004893964110929853,0.6,0.4533333333333333,0.004893964110929853,0.3,0.22666666666666666
ResNet-18,3391,Handbags,0.002844141069397042,1.0,1.0,0.005688282138794084,1.0,1.0
ResNet-18,22361,Sports Sandals,0.0,0.0,0.0,0.0,0.0,0.0
ResNet-18,55233,Foundation and Primer,0.06666666666666667,1.0,1.0,0.08,0.6,0.5666666666666667
ResNet-18,39147,Kurta Sets,0.0,0.0,0.0,0.010752688172043012,0.1,0.0125
ResNet-18,15983,Shirts,0.0015556938394523958,1.0,1.0,0.0031113876789047915,1.0,1.0
ResNet-18,59290,Watches,0.0019677292404565133,1.0,1.0,0.003935458480913027,1.0,1.0
ResNet-18,18459,Deodorant,0.014450867052023121,1.0,1.0,0.028901734104046242,1.0,1.0
ResNet-18,25385,Briefs,0.00589622641509434,1.0,1.0,0.01179245283018868,1.0,1.0
ResNet-18,34038,Shirts,0.0015556938394523958,1.0,1.0,0.0028002489110143126,0.9,0.866388888888889
ResNet-18,7169,Shirts,0.0015556938394523958,1.0,1.0,0.0028002489110143126,0.9,0.89
ResNet-18,23249,Formal Shoes,0.007861635220125786,1.0,1.0,0.015723270440251572,1.0,1.0
ResNet-18,2040,Tshirts,0.0005659309564233164,0.8,0.5433333333333333,0.0008488964346349745,0.6,0.4097619047619048
ResNet-18,25949,Scarves,0.03389830508474576,0.8,0.71,0.06779661016949153,0.8,0.671111111111111
ResNet-18,46285,Dresses,0.0021598272138228943,0.2,0.1,0.004319654427645789,0.2,0.075
ResNet-18,25985,Perfume and Body Mist,0.0065252854812398045,0.8,0.5433333333333333,0.01468189233278956,0.9,0.7071031746031746
ResNet-18,21189,Backpacks,0.006915629322268326,1.0,1.0,0.013831258644536652,1.0,1.0
ResNet-18,37488,Watches,0.0019677292404565133,1.0,1.0,0.003148366784730421,0.8,0.78
ResNet-18,3398,Handbags,0.0017064846416382253,0.6,0.32,0.004550625711035267,0.8,0.5308730158730158
ResNet-18,3505,Casual Shoes,0.0017574692442882249,1.0,1.0,0.00281195079086116,0.8,0.7327777777777778
ResNet-18,42410,Briefs,0.00589622641509434,1.0,1.0,0.01179245283018868,1.0,1.0
ResNet-18,24868,Wallets,0.0053475935828877,1.0,1.0,0.0106951871657754,1.0,1.0
ResNet-18,33225,Dresses,0.004319654427645789,0.4,0.4,0.004319654427645789,0.2,0.2
ResNet-18,34000,Tops,0.001135718341851221,0.4,0.3333333333333333,0.0028392958546280523,0.5,0.3095238095238095
ResNet-18,47196,Sandals,0.004464285714285714,0.8,0.76,0.0078125,0.7,0.5964285714285714
ResNet-18,26333,Watches,0.0019677292404565133,1.0,1.0,0.003935458480913027,1.0,1.0
ResNet-18,37625,Tshirts,0.0007074136955291454,1.0,1.0,0.0014148273910582908,1.0,1.0
ResNet-18,32357,Watches,0.0019677292404565133,1.0,1.0,0.003935458480913027,1.0,1.0
ResNet-18,44747,Casual Shoes,0.00140597539543058,0.8,0.6433333333333333,0.0017574692442882249,0.5,0.3716666666666667
ResNet-18,38652,Casual Shoes,0.00070298769771529,0.4,0.18,0.002460456942003515,0.7,0.3963095238095238
ResNet-18,38460,Mobile Pouch,0.0,0.0,0.0,0.0,0.0,0.0
ResNet-18,47109,Casual Shoes,0.00070298769771529,0.4,0.16666666666666666,0.00140597539543058,0.4,0.19047619047619047
ResNet-18,8172,Heels,0.0007564296520423601,0.2,0.2,0.0022692889561270802,0.3,0.16607142857142856
ResNet-18,25777,Suspenders,0.1282051282051282,1.0,1.0,0.2564102564102564,1.0,1.0
ResNet-18,26334,Watches,0.0019677292404565133,1.0,1.0,0.003935458480913027,1.0,1.0
ResNet-18,12333,Jeans,0.008237232289950576,1.0,1.0,0.016474464579901153,1.0,1.0
ResNet-18,45659,Innerwear Vests,0.02074688796680498,1.0,1.0,0.03319502074688797,0.8,0.7621031746031746
ResNet-18,21778,Belts,0.006157635467980296,1.0,1.0,0.012315270935960592,1.0,1.0
ResNet-18,2210,Tshirts,0.0007074136955291454,1.0,1.0,0.0014148273910582908,1.0,1.0
ResNet-18,41036,Watches,0.0015741833923652105,0.8,0.8,0.0035419126328217238,0.9,0.8354365079365079
ResNet-18,12137,Kurtas,0.0027129679869777536,1.0,1.0,0.005425935973955507,1.0,1.0
ResNet-18,56849,Jeans,0.0,0.0,0.0,0.0016474464579901153,0.1,0.016666666666666666
ResNet-18,38836,Dresses,0.0064794816414686825,0.6,0.42000000000000004,0.008639308855291577,0.4,0.26
ResNet-18,25587,Kurta Sets,0.043010752688172046,0.8,0.8,0.08602150537634409,0.8,0.736547619047619
ResNet-18,10204,Handbags,0.002844141069397042,1.0,1.0,0.005688282138794084,1.0,1.0
ResNet-18,27815,Belts,0.006157635467980296,1.0,1.0,0.012315270935960592,1.0,1.0
ResNet-18,42812,Briefs,0.0011792452830188679,0.2,0.2,0.003537735849056604,0.3,0.16333333333333333
ResNet-18,54977,Lounge Pants,0.0,0.0,0.0,0.0,0.0,0.0
ResNet-18,15923,Backpacks,0.006915629322268326,1.0,1.0,0.013831258644536652,1.0,1.0
ResNet-18,47332,Wallets,0.0042780748663101605,0.8,0.8,0.008556149732620321,0.8,0.745436507936508
ResNet-18,57154,Tshirts,0.00042444821731748726,0.6,0.3833333333333333,0.0005659309564233164,0.4,0.23611111111111108
ResNet-18,44127,Deodorant,0.011560693641618497,0.8,0.8,0.02023121387283237,0.7,0.6468253968253967
ResNet-18,25110,Belts,0.006157635467980296,1.0,1.0,0.012315270935960592,1.0,1.0
ResNet-18,44588,Shirts,0.0015556938394523958,1.0,1.0,0.0031113876789047915,1.0,1.0
ResNet-18,18051,Wallets,0.0053475935828877,1.0,1.0,0.0106951871657754,1.0,1.0
ResNet-18,25779,Suspenders,0.1282051282051282,1.0,1.0,0.2564102564102564,1.0,1.0
ResNet-18,57108,Tops,0.0,0.0,0.0,0.0005678591709256105,0.1,0.0125
ResNet-18,49664,Sunglasses,0.0046641791044776115,1.0,1.0,0.009328358208955223,1.0,1.0
ResNet-18,17248,Tshirts,0.0007074136955291454,1.0,1.0,0.0014148273910582908,1.0,1.0
ResNet-18,44978,Watches,0.0019677292404565133,1.0,1.0,0.003935458480913027,1.0,1.0
ResNet-18,5435,Tshirts,0.0007074136955291454,1.0,1.0,0.0014148273910582908,1.0,1.0
ResNet-18,13075,Casual Shoes,0.00140597539543058,0.8,0.71,0.00281195079086116,0.8,0.691547619047619
ResNet-18,20065,Belts,0.0049261083743842365,0.8,0.8,0.008620689655172414,0.7,0.6283333333333333
ResNet-18,3160,Sports Shoes,0.002457002457002457,1.0,1.0,0.004914004914004914,1.0,1.0
ResNet-18,48113,Belts,0.006157635467980296,1.0,1.0,0.012315270935960592,1.0,1.0
ResNet-18,51668,Sunglasses,0.0037313432835820895,0.8,0.76,0.008395522388059701,0.9,0.8154365079365078
ResNet-18,29786,Tshirts,0.0007074136955291454,1.0,1.0,0.0014148273910582908,1.0,1.0
ResNet-18,18697,Briefs,0.00589622641509434,1.0,1.0,0.01179245283018868,1.0,1.0
ResNet-18,12702,Casual Shoes,0.00070298769771529,0.4,0.14666666666666667,0.00140597539543058,0.4,0.17333333333333334
ResNet-18,12968,Sports Shoes,0.002457002457002457,1.0,1.0,0.004914004914004914,1.0,1.0
ResNet-18,53590,Watches,0.0019677292404565133,1.0,1.0,0.003935458480913027,1.0,1.0
ResNet-18,46426,Watches,0.0019677292404565133,1.0,1.0,0.003935458480913027,1.0,1.0
ResNet-18,10293,Sandals,0.005580357142857143,1.0,1.0,0.008928571428571428,0.8,0.7577777777777778
ResNet-18,39380,Jeans,0.006589785831960461,0.8,0.8,0.014827018121911038,0.9,0.8354365079365079
ResNet-18,9202,Casual Shoes,0.001054481546572935,0.6,0.32,0.00140597539543058,0.4,0.2
ResNet-18,47199,Formal Shoes,0.006289308176100629,0.8,0.76,0.014150943396226415,0.9,0.8154365079365078
ResNet-18,19317,Backpacks,0.006915629322268326,1.0,1.0,0.009681881051175657,0.7,0.67
ResNet-18,21172,Tunics,0.0,0.0,0.0,0.0,0.0,0.0
ResNet-18,17848,Tshirts,0.00042444821731748726,0.6,0.3833333333333333,0.0008488964346349745,0.6,0.3808333333333333
ResNet-18,50575,Trunk,0.02877697841726619,0.8,0.6433333333333333,0.03597122302158273,0.5,0.3930952380952381
ResNet-18,57562,Lipstick,0.01592356687898089,1.0,1.0,0.03184713375796178,1.0,1.0
ResNet-18,44511,Sandals,0.004464285714285714,0.8,0.8,0.010044642857142858,0.9,0.8354365079365079
ResNet-18,11521,Tshirts,0.0001414827391058291,0.2,0.2,0.0001414827391058291,0.1,0.1
ResNet-18,33649,Sandals,0.004464285714285714,0.8,0.6433333333333333,0.004464285714285714,0.4,0.32166666666666666
ResNet-18,49838,Flip Flops,0.004371584699453552,0.8,0.76,0.004371584699453552,0.4,0.38
ResNet-18,15724,Sports Shoes,0.0009828009828009828,0.4,0.2,0.0019656019656019656,0.4,0.19
ResNet-18,47367,Handbags,0.002844141069397042,1.0,1.0,0.005688282138794084,1.0,1.0
ResNet-18,34635,Casual Shoes,0.00070298769771529,0.4,0.13,0.00210896309314587,0.6,0.28055555555555556
ResNet-18,41030,Watches,0.0019677292404565133,1.0,1.0,0.003935458480913027,1.0,1.0
ResNet-18,8348,Tshirts,0.0007074136955291454,1.0,1.0,0.0014148273910582908,1.0,1.0
ResNet-18,35383,Casual Shoes,0.001054481546572935,0.6,0.4533333333333333,0.00210896309314587,0.6,0.40630952380952373
ResNet-18,23676,Sandals,0.004464285714285714,0.8,0.8,0.0078125,0.7,0.5991666666666667
ResNet-18,47101,Sandals,0.0011160714285714285,0.2,0.05,0.0011160714285714285,0.1,0.025
ResNet-18,19344,Wallets,0.0053475935828877,1.0,1.0,0.0106951871657754,1.0,1.0
