query_index,query_product_id,article_type,recall@5,precision@5,ap@5,recall@10,precision@10,ap@10
22271,57166,Tops,0.001135718341851221,0.4,0.14666666666666667,0.0028392958546280523,0.5,0.2177777777777778
41776,33455,Handbags,0.002844141069397042,1.0,1.0,0.004550625711035267,0.8,0.7327777777777778
15672,14701,Trousers,0.00945179584120983,1.0,1.0,0.01890359168241966,1.0,1.0
22865,50975,Bra,0.01050420168067227,1.0,1.0,0.02100840336134454,1.0,1.0
27192,18007,Backpacks,0.006915629322268326,1.0,1.0,0.013831258644536652,1.0,1.0
23010,10456,Tshirts,0.0002829654782116582,0.4,0.2,0.0002829654782116582,0.2,0.1
18746,59081,Bra,0.01050420168067227,1.0,1.0,0.02100840336134454,1.0,1.0
8557,58852,Cufflinks,0.02857142857142857,0.6,0.6,0.05714285714285714,0.6,0.49809523809523804
23855,14297,Tshirts,0.0007074136955291454,1.0,1.0,0.0014148273910582908,1.0,1.0
14893,1756,Tshirts,0.00042444821731748726,0.6,0.6,0.0005659309564233164,0.4,0.34444444444444444
34203,40276,Trousers,0.007561436672967864,0.8,0.6433333333333333,0.015122873345935728,0.8,0.6258730158730159
10699,39451,Kurtas,0.0027129679869777536,1.0,1.0,0.005425935973955507,1.0,1.0
13743,4420,Tshirts,0.0005659309564233164,0.8,0.8,0.0011318619128466328,0.8,0.7042063492063492
26790,2248,Flip Flops,0.00546448087431694,1.0,1.0,0.008743169398907104,0.8,0.7621031746031746
28344,9710,Shirts,0.0015556938394523958,1.0,1.0,0.0031113876789047915,1.0,1.0
25512,54515,Sports Shoes,0.0004914004914004914,0.2,0.06666666666666667,0.0009828009828009828,0.2,0.05333333333333333
28151,15003,Sweaters,0.007246376811594203,0.4,0.3,0.021739130434782608,0.6,0.3584126984126984
23769,45297,Watches,0.0019677292404565133,1.0,1.0,0.003935458480913027,1.0,1.0
30496,17151,Jackets,0.007782101167315175,0.4,0.27999999999999997,0.01556420233463035,0.4,0.22730158730158728
25625,26936,Tshirts,0.00042444821731748726,0.6,0.4833333333333333,0.0007074136955291454,0.5,0.3708333333333333
24587,43151,Watches,0.0019677292404565133,1.0,1.0,0.003935458480913027,1.0,1.0
15254,14560,Casual Shoes,0.0017574692442882249,1.0,1.0,0.0035149384885764497,1.0,1.0
24879,16166,Formal Shoes,0.007861635220125786,1.0,1.0,0.0110062893081761,0.7,0.7
4140,52487,Camisoles,0.10526315789473684,0.8,0.76,0.15789473684210525,0.6,0.5025
9804,11235,Jeans,0.008237232289950576,1.0,1.0,0.016474464579901153,1.0,1.0
6433,41979,Tshirts,0.0007074136955291454,1.0,1.0,0.0009903791737408036,0.7,0.6777777777777778
20609,49879,Watches,0.0019677292404565133,1.0,1.0,0.003935458480913027,1.0,1.0
20746,30280,Sunglasses,0.0037313432835820895,0.8,0.8,0.008395522388059701,0.9,0.8354365079365079
18189,26140,Trousers,0.00945179584120983,1.0,1.0,0.01890359168241966,1.0,1.0
12984,5705,Casual Shoes,0.001054481546572935,0.6,0.35333333333333333,0.002460456942003515,0.7,0.4329761904761904
1568,58318,Socks,0.0072992700729927005,1.0,1.0,0.014598540145985401,1.0,1.0
40008,4535,Sports Shoes,0.002457002457002457,1.0,1.0,0.004422604422604423,0.9,0.89
13785,22068,Kurtas,0.0005425935973955507,0.2,0.2,0.0010851871947911015,0.2,0.12
26148,39118,Leggings,0.011363636363636364,0.4,0.13,0.03409090909090909,0.6,0.29464285714285715
25573,16901,Tshirts,0.0007074136955291454,1.0,1.0,0.0014148273910582908,1.0,1.0
41258,32517,Sandals,0.0011160714285714285,0.2,0.05,0.005580357142857143,0.5,0.20674603174603173
9461,42509,Kurtas,0.002170374389582203,0.8,0.8,0.0048833423765599565,0.9,0.8354365079365079
36516,15623,Sweatshirts,0.014084507042253521,0.8,0.6433333333333333,0.028169014084507043,0.8,0.6258730158730159
17775,41449,Casual Shoes,0.0017574692442882249,1.0,1.0,0.00210896309314587,0.6,0.5857142857142856
6674,39255,Formal Shoes,0.007861635220125786,1.0,1.0,0.014150943396226415,0.9,0.866388888888889
17908,57345,Bra,0.01050420168067227,1.0,1.0,0.02100840336134454,1.0,1.0
42236,29103,Backpacks,0.006915629322268326,1.0,1.0,0.013831258644536652,1.0,1.0
27589,14898,Wallets,0.0042780748663101605,0.8,0.71,0.008556149732620321,0.8,0.671111111111111
17430,54168,Necklace and Chains,0.031446540880503145,1.0,1.0,0.050314465408805034,0.8,0.7327777777777778
26563,26534,Casual Shoes,0.0017574692442882249,1.0,1.0,0.003163444639718805,0.9,0.89
34150,30591,Caps,0.01773049645390071,1.0,1.0,0.03546099290780142,1.0,1.0
18610,46432,Watches,0.0019677292404565133,1.0,1.0,0.003935458480913027,1.0,1.0
26726,43157,Watches,0.0019677292404565133,1.0,1.0,0.003935458480913027,1.0,1.0
13252,18905,Sports Shoes,0.002457002457002457,1.0,1.0,0.004422604422604423,0.9,0.8521031746031745
4063,4373,Tshirts,0.0007074136955291454,1.0,1.0,0.0014148273910582908,1.0,1.0
12094,55160,Nail Polish,0.01524390243902439,1.0,1.0,0.03048780487804878,1.0,1.0
41217,36371,Ties,0.019083969465648856,1.0,1.0,0.03816793893129771,1.0,1.0
5836,15096,Kurtas,0.0,0.0,0.0,0.0010851871947911015,0.2,0.03111111111111111
42332,11957,Casual Shoes,0.0017574692442882249,1.0,1.0,0.0035149384885764497,1.0,1.0
5189,34409,Tshirts,0.0007074136955291454,1.0,1.0,0.0014148273910582908,1.0,1.0
5628,44861,Tshirts,0.0007074136955291454,1.0,1.0,0.0014148273910582908,1.0,1.0
20625,26547,Casual Shoes,0.0017574692442882249,1.0,1.0,0.00281195079086116,0.8,0.7675
39739,18810,Belts,0.006157635467980296,1.0,1.0,0.012315270935960592,1.0,1.0
17578,24476,Sandals,0.005580357142857143,1.0,1.0,0.008928571428571428,0.8,0.8
30042,58098,Pendant,0.0,0.0,0.0,0.0,0.0,0.0
22111,48757,Jewellery Set,0.08771929824561403,1.0,1.0,0.12280701754385964,0.7,0.6527777777777778
20084,33296,Shirts,0.0015556938394523958,1.0,1.0,0.0028002489110143126,0.9,0.9
6460,36473,Kurtas,0.0005425935973955507,0.2,0.2,0.0005425935973955507,0.1,0.1
6874,46703,Perfume and Body Mist,0.008156606851549755,1.0,1.0,0.01631321370309951,1.0,1.0
40913,12770,Tops,0.0,0.0,0.0,0.0,0.0,0.0
19262,25999,Perfume and Body Mist,0.004893964110929853,0.6,0.6,0.008156606851549755,0.5,0.40714285714285714
28239,1784,Sports Shoes,0.002457002457002457,1.0,1.0,0.004914004914004914,1.0,1.0
11200,18969,Sweaters,0.014492753623188406,0.8,0.5433333333333333,0.025362318840579712,0.7,0.48809523809523814
30434,7612,Messenger Bag,0.0,0.0,0.0,0.0,0.0,0.0
23386,23441,Tunics,0.0,0.0,0.0,0.0,0.0,0.0
25147,16939,Sunglasses,0.0046641791044776115,1.0,1.0,0.009328358208955223,1.0,1.0
